Model,RunID,RMSE,MAE,R2
RandomForest,7a098ccd6a7e486dafb3abe91c6c041c,1.0423026087712892,0.8483107073928399,0.12690116053801037
XGBoost,b6d407bc19f246e8911ff6f818db0a8d,1.0535585931453308,0.8464826941490173,0.10794186592102051
GLM,eaa1a5db2a4a4447814208fb887d234f,1.1060800179270682,0.9153308610663564,0.01678418718879293
